PERMNO,date,TICKER,COMNAM,RET,RETX
75188,1/3/00,AAG,AMERICAN ANNUITY GROUP INC,-0.027778,-0.027778
75188,1/4/00,AAG,AMERICAN ANNUITY GROUP INC,-0.010714,-0.010714
75188,1/5/00,AAG,AMERICAN ANNUITY GROUP INC,0.00361,0.00361
75188,1/6/00,AAG,AMERICAN ANNUITY GROUP INC,-0.003597,-0.003597
75188,1/7/00,AAG,AMERICAN ANNUITY GROUP INC,0.00361,0.00361
75188,1/10/00,AAG,AMERICAN ANNUITY GROUP INC,0.007194,0.007194
75188,1/11/00,AAG,AMERICAN ANNUITY GROUP INC,0,0
75188,1/12/00,AAG,AMERICAN ANNUITY GROUP INC,0.003571,0.003571
75188,1/13/00,AAG,AMERICAN ANNUITY GROUP INC,0,0
75188,1/14/00,AAG,AMERICAN ANNUITY GROUP INC,-0.039146,-0.039146
75188,1/18/00,AAG,AMERICAN ANNUITY GROUP INC,0,0
75188,1/19/00,AAG,AMERICAN ANNUITY GROUP INC,0.003704,0.003704
75188,1/20/00,AAG,AMERICAN ANNUITY GROUP INC,-0.01476,-0.01476
75188,1/21/00,AAG,AMERICAN ANNUITY GROUP INC,-0.026217,-0.026217
75188,1/24/00,AAG,AMERICAN ANNUITY GROUP INC,0,0
75188,1/25/00,AAG,AMERICAN ANNUITY GROUP INC,0,0
75188,1/26/00,AAG,AMERICAN ANNUITY GROUP INC,0.011538,0.011538
75188,1/27/00,AAG,AMERICAN ANNUITY GROUP INC,-0.007605,-0.007605
75188,1/28/00,AAG,AMERICAN ANNUITY GROUP INC,0,0
75188,1/31/00,AAG,AMERICAN ANNUITY GROUP INC,-0.007663,-0.007663
75188,2/1/00,AAG,AMERICAN ANNUITY GROUP INC,-0.015444,-0.015444
75188,2/2/00,AAG,AMERICAN ANNUITY GROUP INC,-0.007843,-0.007843
75188,2/3/00,AAG,AMERICAN ANNUITY GROUP INC,-0.019763,-0.019763
75188,2/4/00,AAG,AMERICAN ANNUITY GROUP INC,-0.028226,-0.028226
75188,2/7/00,AAG,AMERICAN ANNUITY GROUP INC,0,0
75188,2/8/00,AAG,AMERICAN ANNUITY GROUP INC,-0.004149,-0.004149
75188,2/9/00,AAG,AMERICAN ANNUITY GROUP INC,0.020833,0.020833
75188,2/10/00,AAG,AMERICAN ANNUITY GROUP INC,0.016327,0.016327
75188,2/11/00,AAG,AMERICAN ANNUITY GROUP INC,-0.004016,-0.004016
75188,2/14/00,AAG,AMERICAN ANNUITY GROUP INC,0,0
75188,2/15/00,AAG,AMERICAN ANNUITY GROUP INC,0.004032,0.004032
75188,2/16/00,AAG,AMERICAN ANNUITY GROUP INC,-0.02008,-0.02008
75188,2/17/00,AAG,AMERICAN ANNUITY GROUP INC,0,0
75188,2/18/00,AAG,AMERICAN ANNUITY GROUP INC,0.016393,0.016393
75188,2/22/00,AAG,AMERICAN ANNUITY GROUP INC,-0.012097,-0.012097
75188,2/23/00,AAG,AMERICAN ANNUITY GROUP INC,-0.004082,-0.004082
75188,2/24/00,AAG,AMERICAN ANNUITY GROUP INC,0.028689,0.028689
75188,2/25/00,AAG,AMERICAN ANNUITY GROUP INC,0,0
75188,2/28/00,AAG,AMERICAN ANNUITY GROUP INC,-0.003984,-0.003984
75188,2/29/00,AAG,AMERICAN ANNUITY GROUP INC,0,0
75188,3/1/00,AAG,AMERICAN ANNUITY GROUP INC,0.004,0.004
75188,3/2/00,AAG,AMERICAN ANNUITY GROUP INC,-0.035857,-0.035857
75188,3/3/00,AAG,AMERICAN ANNUITY GROUP INC,0,0
75188,3/6/00,AAG,AMERICAN ANNUITY GROUP INC,0,0
75188,3/7/00,AAG,AMERICAN ANNUITY GROUP INC,0,0
75188,3/8/00,AAG,AMERICAN ANNUITY GROUP INC,0.028926,0.028926
75188,3/9/00,AAG,AMERICAN ANNUITY GROUP INC,-0.004016,-0.004016
75188,3/10/00,AAG,AMERICAN ANNUITY GROUP INC,-0.012097,-0.012097
75188,3/13/00,AAG,AMERICAN ANNUITY GROUP INC,0,0
75188,3/14/00,AAG,AMERICAN ANNUITY GROUP INC,-0.004082,-0.004082
75188,3/15/00,AAG,AMERICAN ANNUITY GROUP INC,0,0
75188,3/16/00,AAG,AMERICAN ANNUITY GROUP INC,-0.016393,-0.016393
75188,3/17/00,AAG,AMERICAN ANNUITY GROUP INC,0,0
75188,3/20/00,AAG,AMERICAN ANNUITY GROUP INC,0.016667,0.016667
75188,3/21/00,AAG,AMERICAN ANNUITY GROUP INC,0.008197,0.008197
75188,3/22/00,AAG,AMERICAN ANNUITY GROUP INC,0.00813,0.00813
75188,3/23/00,AAG,AMERICAN ANNUITY GROUP INC,0,0
75188,3/24/00,AAG,AMERICAN ANNUITY GROUP INC,0.024194,0.024194
75188,3/27/00,AAG,AMERICAN ANNUITY GROUP INC,-0.003937,-0.003937
75188,3/28/00,AAG,AMERICAN ANNUITY GROUP INC,0.003953,0.003953
75188,3/29/00,AAG,AMERICAN ANNUITY GROUP INC,-0.043307,-0.043307
75188,3/30/00,AAG,AMERICAN ANNUITY GROUP INC,-0.004115,-0.004115
75188,3/31/00,AAG,AMERICAN ANNUITY GROUP INC,0.008264,0.008264
75188,4/3/00,AAG,AMERICAN ANNUITY GROUP INC,-0.016393,-0.016393
75188,4/4/00,AAG,AMERICAN ANNUITY GROUP INC,0.0125,0.0125
