PERMNO,date,TICKER,COMNAM,RET,RETX
12591,2011-03-30,APO,APOLLO GLOBAL MANAGEMENT LLC,C,C
12591,2011-03-31,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.010989,-0.010989
12591,2011-04-01,APO,APOLLO GLOBAL MANAGEMENT LLC,0.000000,0.000000
12591,2011-04-04,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.006667,-0.006667
12591,2011-04-05,APO,APOLLO GLOBAL MANAGEMENT LLC,0.005593,0.005593
12591,2011-04-06,APO,APOLLO GLOBAL MANAGEMENT LLC,0.006674,0.006674
12591,2011-04-07,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.004972,-0.004972
12591,2011-04-08,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.000555,-0.000555
12591,2011-04-11,APO,APOLLO GLOBAL MANAGEMENT LLC,0.003333,0.003333
12591,2011-04-12,APO,APOLLO GLOBAL MANAGEMENT LLC,0.007198,0.007198
12591,2011-04-13,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.004948,-0.004948
12591,2011-04-14,APO,APOLLO GLOBAL MANAGEMENT LLC,0.008287,0.008287
12591,2011-04-15,APO,APOLLO GLOBAL MANAGEMENT LLC,0.013699,0.013699
12591,2011-04-18,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.017297,-0.017297
12591,2011-04-19,APO,APOLLO GLOBAL MANAGEMENT LLC,0.001100,0.001100
12591,2011-04-20,APO,APOLLO GLOBAL MANAGEMENT LLC,0.001648,0.001648
12591,2011-04-21,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.006582,-0.006582
12591,2011-04-25,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.002761,-0.002761
12591,2011-04-26,APO,APOLLO GLOBAL MANAGEMENT LLC,0.006645,0.006645
12591,2011-04-27,APO,APOLLO GLOBAL MANAGEMENT LLC,0.000000,0.000000
12591,2011-04-28,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.003850,-0.003850
12591,2011-04-29,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.001657,-0.001657
12591,2011-05-02,APO,APOLLO GLOBAL MANAGEMENT LLC,0.006045,0.006045
12591,2011-05-03,APO,APOLLO GLOBAL MANAGEMENT LLC,0.004437,0.004437
12591,2011-05-04,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.015873,-0.015873
12591,2011-05-05,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.002225,-0.002225
12591,2011-05-06,APO,APOLLO GLOBAL MANAGEMENT LLC,0.001672,0.001672
12591,2011-05-09,APO,APOLLO GLOBAL MANAGEMENT LLC,0.029494,0.029494
12591,2011-05-10,APO,APOLLO GLOBAL MANAGEMENT LLC,0.011351,0.011351
12591,2011-05-11,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.012293,-0.012293
12591,2011-05-12,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.003247,-0.003247
12591,2011-05-13,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.008143,-0.008143
12591,2011-05-16,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.024083,-0.024083
12591,2011-05-17,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.036455,-0.036455
12591,2011-05-18,APO,APOLLO GLOBAL MANAGEMENT LLC,0.038999,0.038999
12591,2011-05-19,APO,APOLLO GLOBAL MANAGEMENT LLC,0.007843,-0.004482
12591,2011-05-20,APO,APOLLO GLOBAL MANAGEMENT LLC,0.004502,0.004502
12591,2011-05-23,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.014006,-0.014006
12591,2011-05-24,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.001705,-0.001705
12591,2011-05-25,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.011383,-0.011383
12591,2011-05-26,APO,APOLLO GLOBAL MANAGEMENT LLC,0.021877,0.021877
12591,2011-05-27,APO,APOLLO GLOBAL MANAGEMENT LLC,0.024789,0.024789
12591,2011-05-31,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.009346,-0.009346
12591,2011-06-01,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.004994,-0.004994
12591,2011-06-02,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.003904,-0.003904
12591,2011-06-03,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.000560,-0.000560
12591,2011-06-06,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.025210,-0.025210
12591,2011-06-07,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.027586,-0.027586
12591,2011-06-08,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.010047,-0.010047
12591,2011-06-09,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.027463,-0.027463
12591,2011-06-10,APO,APOLLO GLOBAL MANAGEMENT LLC,-0.039902,-0.039902
