PERMNO,conm,tic
20010,AMERICAN AIRLINES GROUP INC,AAL
20010,AMERICAN AIRLINES GROUP INC,AAL
20010,AMERICAN AIRLINES GROUP INC,AAL
20017,ABBOTT LABORATORIES,ABT
20017,ABBOTT LABORATORIES,ABT
20020,ACME-CLEVELAND CORP,AMT.1
211,ADVANCED MICRO DEVICES,AMD
20026,AETNA INC,AET
20028,AHMANSON (H F) & CO,AHM.1
20030,AIR PRODUCTS & CHEMICALS INC,APD
8127,ALBERTO-CULVER CO,ACV.1
20038,ALBERTSON'S INC,ABS.1
20039,ALCAN INC,AL.1
20039,ALCAN INC,AL.1
20040,IKON OFFICE SOLUTIONS,IKN
4,ALEXANDER & ALEXANDER,AAL.1
22168,HONEYWELL INTERNATIONAL INC,HON
22168,HONEYWELL INTERNATIONAL INC,HON
20060,ALCOA INC,AA.3
20060,ALCOA INC,AA.3
20061,ALZA CORP,AZA.1
20063,AMAX INC,AMX.2
20063,AMAX INC,AMX.2
20064,HESS CORP,HES
209,AMDAHL CORP,AMH.1
20067,BEAM INC,BEAM.2
20067,BEAM INC,BEAM.2
20076,AMERICAN CYANAMID CO,ACY.1
20076,AMERICAN CYANAMID CO,ACY.1
20077,AMERICAN ELECTRIC POWER CO,AEP
20077,AMERICAN ELECTRIC POWER CO,AEP
90,AMERICAN EXPRESS CO,AXP
20082,AMERICAN GENERAL CORP,AGC.1
20082,AMERICAN GENERAL CORP,AGC.1
121,AMERICAN GREETINGS  -CL A,AM.1
20086,WYETH,WYE
20086,WYETH,WYE
20088,AMERITECH CORP,AIT.1
137,AMERICAN INTERNATIONAL GROUP,AIG
20101,AMERICAN STORES CO,ASC.1
20103,AT&T CORP,T.2
20103,AT&T CORP,T.2
23449,AMP INC,AMP.2
23449,AMP INC,AMP.2
20191,AMOCO CORP,AN.2
20191,AMOCO CORP,AN.2
272,ANDREW CORP,ANDW
29,ANHEUSER-BUSCH COS INC,BUD.2
7,APPLE INC,AAPL
20207,ARCHER-DANIELS-MIDLAND CO,ADM
20207,ARCHER-DANIELS-MIDLAND CO,ADM
20211,NORAM ENERGY CORP,CNP2
20214,ARMCO INC,AS.
20214,ARMCO INC,AS.
20215,ARMSTRONG HOLDINGS INC,3ACKH
20215,ARMSTRONG HOLDINGS INC,3ACKH
20220,ASARCO INC,AR.2
20220,ASARCO INC,AR.2
20222,ASHLAND INC,ASH
20227,ATLANTIC RICHFIELD CO,ARC.3
20227,ATLANTIC RICHFIELD CO,ARC.3
7623,AUTODESK INC,ADSK
20235,AUTOMATIC DATA PROCESSING,ADP
20238,AVERY DENNISON CORP,AVY
20240,AVON PRODUCTS,AVP
20253,BAKER HUGHES INC,BHI
20257,BALL CORP,BALL
54172,BALLY ENTERTAINMENT CORP,BLY
20258,CONSTELLATION ENERGY GRP INC,CEG.1
20258,CONSTELLATION ENERGY GRP INC,CEG.1
606,BANK ONE CORP,ONE.1
20264,BANKBOSTON CORP,BKB.2
437,BANKAMERICA CORP-OLD,BAC.Z.
20266,BANKERS TRUST CORP,BT.2
20268,BARD (C.R.) INC,BCR
586,BARNETT BANKS INC,BBI.2
676,BASSETT FURNITURE INDS,BSET
20276,BAUSCH & LOMB HLDGS  -REDH,6583B
20277,BAXTER INTERNATIONAL INC,BAX
20284,BECTON DICKINSON & CO,BDX
20288,VERIZON COMMUNICATIONS INC,VZ
20290,BELLSOUTH CORP,BLS
20292,BEMIS CO INC,BMS
20293,BENEFICIAL CORP,BNL.1
20293,BENEFICIAL CORP,BNL.1
20299,BETHLEHEM STEEL CORP,3BHMSQ
20299,BETHLEHEM STEEL CORP,3BHMSQ
20300,BEVERLY ENTERPRISES INC,BEV.1
5737,BIOMET INC,5938B
20306,BLACK & DECKER CORP,BDK
20306,BLACK & DECKER CORP,BDK
20309,BLOCK H & R INC,HRB
20315,BOEING CO,BA
20315,BOEING CO,BA
20316,OFFICEMAX INC,OMX
20320,HEXION INC,0141A
20320,HEXION INC,0141A
20330,BRIGGS & STRATTON,BGGSQ
20330,BRIGGS & STRATTON,BGGSQ
20331,BRISTOL-MYERS SQUIBB CO,BMY
20331,BRISTOL-MYERS SQUIBB CO,BMY
20339,BNS HOLDING CO,BNSSA
20340,BROWN FORMAN CORP,BF.B
20342,CALERES INC,CAL
20342,CALERES INC,CAL
20343,BROWNING-FERRIS INDS,BFI.
20344,BRUNSWICK CORP,BC
20344,BRUNSWICK CORP,BC
20350,BURLINGTON NORTHERN SANTA FE,BRK3
21814,UNISYS CORP,UIS
21814,UNISYS CORP,UIS
20354,CBS INC,CBS.1
20354,CBS INC,CBS.1
20357,CIGNA GROUP (THE),CI
20363,CNA FINANCIAL CORP,CNA
20363,CNA FINANCIAL CORP,CNA
20365,BESTFOODS,BFO.2
20365,BESTFOODS,BFO.2
20370,CSX CORP,CSX
20384,CAMPBELL SOUP CO,CPB
20389,CAPITAL CITIES/ABC INC,CCB.2
20397,PROGRESS ENERGY INC,DUK8
20397,PROGRESS ENERGY INC,DUK8
20397,PROGRESS ENERGY INC,DUK8
20400,BROADWAY STORES INC,BWY.1
20408,CATERPILLAR INC,CAT
20408,CATERPILLAR INC,CAT
20413,CENTEX CORP,CTX.2
20414,CENTRAL & SOUTH WEST CORP,CSR.1
20414,CENTRAL & SOUTH WEST CORP,CSR.1
20427,CHAMPION INTERNATIONAL CORP,CHA.3
20427,CHAMPION INTERNATIONAL CORP,CHA.3
894,CHARMING SHOPPES INC,CHRS.1
20432,CHASE MANHATTAN CORP  -OLD,CMB.1
20436,JPMORGAN CHASE & CO,JPM
20440,CHEVRON CORP,CVX
20440,CHEVRON CORP,CVX
20446,CHRYSLER CORP,C.3
20446,CHRYSLER CORP,C.3
900,CHUBB CORP,CB.1
900,CHUBB CORP,CB.1
20450,MILACRON INC,MZIAQ
20450,MILACRON INC,MZIAQ
20453,CIRCUIT CITY STORES INC,CCTYQ
20456,CITICORP,3614B
20460,CLARK EQUIPMENT CO,CKL
20460,CLARK EQUIPMENT CO,CKL
20463,CLOROX CO/DE,CLX
20466,EL PASO CGP CO,EP2
20468,COCA-COLA CO,KO
20468,COCA-COLA CO,KO
20473,COLGATE-PALMOLIVE CO,CL
20473,COLGATE-PALMOLIVE CO,CL
20478,COLUMBIA ENERGY GROUP,NI2
20478,COLUMBIA ENERGY GROUP,NI2
962,COMCAST CORP,CMCSA
962,COMCAST CORP,CMCSA
962,COMCAST CORP,CMCSA
962,COMCAST CORP,CMCSA
20483,CITIGROUP INC,C
20486,UNICOM CORP,UCM.2
20486,UNICOM CORP,UCM.2
20491,TRANSITIONAL HOSPITALS CP,THY.1
6680,COMPAQ COMPUTER CORP,CPQ.2
5220,CA INC,CA.1
20493,DXC TECHNOLOGY CO,DXC
20495,CONAGRA BRANDS INC,CAG
20499,CONSOLIDATED EDISON INC,ED
20499,CONSOLIDATED EDISON INC,ED
20501,CON-WAY INC,CNW
20502,CONSOLIDATED NATURAL GAS CO,D2
20502,CONSOLIDATED NATURAL GAS CO,D2
20504,CONRAIL INC,CRR.3
20509,CONTINENTAL CORP,CIC.3
20509,CONTINENTAL CORP,CIC.3
20514,CERIDIAN CORP,4622B
20517,COOPER INDUSTRIES PLC,CBE
20518,COOPER TIRE & RUBBER CO,CTB
33,MOLSON COORS BEVERAGE CO,TAP
3552,CORESTATES FINANCIAL CORP,CFL.1
20523,CORNING INC,GLW
20523,CORNING INC,GLW
20525,CORROON & BLACK CORP,CBL.1
20531,CRANE CO,CR
20531,CRANE CO,CR
1101,CRAY RESEARCH,CYR.1
1170,CROSS & TRECKER CORP,CTCO.1
20537,CROWN HOLDINGS INC,CCK
20537,CROWN HOLDINGS INC,CCK
20543,CUMMINS INC,CMI
1310,DSC COMMUNICATIONS CORP,DIGI.1
1310,DSC COMMUNICATIONS CORP,DIGI.1
20556,DANA INC,DAN
20556,DANA INC,DAN
20559,DATA GENERAL CORP,DGN.
1249,CATTLESALE CO,CTLE.
20561,TARGET CORP,TGT
20566,DEERE & CO,DE
20566,DEERE & CO,DE
20569,DELTA AIR LINES INC,DAL
1285,DELUXE CORP,DLX
20574,DTE ENERGY CO,DTE
21171,MAXUS ENERGY CORP,MXS
21171,MAXUS ENERGY CORP,MXS
20583,DIGITAL EQUIPMENT,DEC.1
20584,DILLARDS INC  -CL A,DDS
20587,DISNEY (WALT) CO,DIS
20592,DOMINION ENERGY INC,D
20594,DONNELLEY (R R) & SONS CO,RRD
20596,DOVER CORP,DOV
20596,DOVER CORP,DOV
20597,DUPONT DE NEMOURS INC,DD
20597,DUPONT DE NEMOURS INC,DD
1366,DOW JONES & CO INC,DJ
20600,DRESSER INDUSTRIES INC,DI.
20600,DRESSER INDUSTRIES INC,DI.
20606,DU PONT (E I) DE NEMOURS,DD.2
